group,interact,Idimp,commonout,commongoal,size,asc,acq,impermeable,similar,bioesst,indpoten,entity,stability,duration,mutint,RMT_CS,RMT_AR,RMT_EM,RMT_MP
local environmental organization,5.261363636,5.122222222,5.103448276,5.215053763,5.122222222,5.068965517,5.211764706,4.689655172,5.352941176,4.684782609,5.402439024,5.360465116,4.918604651,5.2,5.209876543,5.211764706,5.206896552,5.438202247,5.045977011
support group,5.397849462,5.075268817,5.126436782,5.275862069,5.093023256,5.0125,5.445783133,5.129411765,5.112359551,4.965116279,5.273809524,5.35,4.976744186,5.093023256,5.406593407,5.365591398,5.242105263,5.477272727,4.97752809
students studying for an exam,5.358695652,4.929411765,5.046511628,5.4,5.183908046,4.908045977,5.283950617,4.897727273,5.25,4.735632184,5.065217391,5.273809524,4.494117647,4.853932584,4.988636364,5.186046512,5,5.127659574,5.322580645
employees of local restaurant,5.5,5.034090909,4.772727273,5.318681319,4.875,4.870588235,5.06097561,4.727272727,4.967032967,5,5.022727273,5.195402299,4.697916667,4.806451613,4.891304348,4.825581395,4.927710843,5.545454545,5.277777778
cricket team,5.505494505,5.358695652,5.284090909,5.444444444,5.135802469,4.625,5.304347826,4.927083333,5.204301075,5.034482759,5.182795699,5.2625,5.112359551,5.204819277,5.317647059,5.26744186,5.43956044,5.325301205,5.244186047
people having dinner together,5.454545455,4.866666667,4.978021978,5.224719101,4.639534884,4.797752809,5.045977011,4.662921348,4.965909091,4.766666667,4.880952381,5.182926829,4.715909091,4.602272727,5.011363636,5.069767442,4.94047619,5.2375,5.08045977
roommates,5.325842697,5.112359551,4.875,4.928571429,4.95505618,4.659340659,5.192771084,4.717647059,5.120879121,4.988372093,5.219512195,5.277777778,5.05952381,5.120481928,5.184782609,5.471264368,5.08988764,5.505494505,4.922222222
people at a bus stop,4.517647059,4.536082474,4.584269663,4.730337079,4.741573034,5.035294118,4.639534884,4.457446809,4.795180723,4.735632184,4.759493671,4.593023256,4.569892473,4.38372093,4.476744186,4.5,4.471910112,4.691358025,4.855555556
line at a bank,4.659090909,4.235955056,4.674418605,4.965116279,4.793103448,4.666666667,4.837209302,4.363636364,4.597701149,4.733333333,4.75,4.921348315,4.280487805,4.337209302,4.797619048,4.898734177,4.764044944,4.651162791,4.797619048
audience at a movie,4.494382022,4.5375,4.83908046,5.011235955,4.909090909,4.688888889,4.988636364,4.393258427,4.717391304,4.597701149,4.988505747,5.034482759,4.303370787,4.682352941,4.729411765,4.651685393,4.552941176,5.043956044,4.965116279
live in same neighborhood,5.355555556,5.136842105,4.760869565,4.766666667,5.023255814,4.850574713,5.261363636,4.715909091,5.26744186,5.023255814,5.231707317,5.047619048,5.157303371,5.567901235,4.825,4.988764045,5.042553191,5.26744186,5.034482759
students at a university,5.310344828,5.295454545,5.397727273,5.270588235,5.356321839,5.075268817,5.588888889,5.173913043,5.1875,4.978494624,5.023255814,5.101123596,4.674698795,5.142857143,5.186813187,4.989130435,4.913043478,4.965517241,4.931034483
students in a class,5.6,5.318681319,4.967391304,5.390804598,5.141176471,5.24137931,5.204545455,5.129032258,4.905882353,4.929411765,5.247191011,5.021978022,4.685393258,4.842696629,4.806818182,5.036144578,5.191011236,5.070588235,5.142857143
retirement home,4.954545455,5.098901099,4.926829268,4.928571429,5.164835165,5.082352941,5.081632653,4.862068966,4.988764045,4.611111111,5.120879121,5.146341463,5.126582278,5.022727273,4.93258427,5.292134831,4.847826087,5.032608696,5.111111111
enjoy classical music,4.909090909,5.208791209,5.022988506,5.183908046,4.853932584,4.772727273,4.918604651,4.390243902,5.011904762,4.305882353,4.662921348,4.988505747,4.954022989,4.954022989,4.786516854,4.945054945,4.681818182,5.211764706,5.095238095
attending an athlete contest,5.032608696,5.068181818,5.079545455,5.206896552,4.714285714,4.781609195,5.159574468,4.817073171,4.988636364,4.879518072,4.93258427,5,4.831460674,4.64516129,4.682352941,4.931818182,4.855555556,5.068181818,5.035294118
plumbers,4.791208791,4.914893617,4.976470588,4.921348315,4.91954023,4.551724138,4.77173913,4.215909091,5.210526316,4.505617978,4.923913043,4.593406593,4.677777778,4.611111111,4.97752809,4.851851852,4.313953488,4.795454545,5.079545455
teachers,5.4375,5.218390805,5.186813187,5.23655914,5.303370787,4.988764045,5.340659341,4.674698795,5.432098765,4.682352941,5.136363636,5.098901099,4.94047619,5.27173913,5.02247191,5.311111111,4.882352941,5.385542169,5.146341463
work in the same factory,5.325581395,5.244186047,5,5.180722892,5.321428571,4.793814433,5.213483146,4.814814815,5.157303371,4.825581395,5.337209302,5.153846154,5.032967033,5.023809524,5.247191011,5.218390805,5.358695652,5.384615385,5.38372093
labor union,5.022222222,5.322916667,5.204545455,5.329545455,5.35106383,4.965909091,5.178571429,4.855421687,5.119047619,4.674157303,4.942528736,5.2,5.032608696,4.905263158,5.284210526,5.362637363,5.505376344,5.488636364,5.296703297
members of a political party,4.931818182,5.274725275,5.011627907,4.776470588,5.355555556,5.113636364,5.384615385,4.613636364,5.233333333,4.565217391,4.73255814,5.075268817,4.540229885,5.065217391,5.146067416,4.862068966,5.138297872,4.882352941,5.341176471
